code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KA19045003,Kit alternador,CITROEN,JUMPER,F1C(Euro 4-5),2006,,2019,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.999,any,"Poly-V 8pk Ø59
3.1116 rpm (high idle speed)",,N,06/2006,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19045003,Kit alternador,CITROEN,JUMPER,F1C (Euro 5b+),2014,,2019,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.999,any,"Poly-V 8pk Ø59
3.1116 rpm (high idle speed)",,N,2014,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA23025015,Kit alternador,CITROEN,JUMPY,DV6FDU (Euro 6) | DV6FCU (Euro 6),2016,,2016,,,,Yes,Yes,,,,,,,,,,,,,,,,,,4 / 1.560,yes,"Poly-V 5PK Ø54
10.667 rpm",,N,09/2016,,Valeo 140A 14V
KA23055020,Kit alternador,CITROEN,JUMPER,DW10 FUE (Euro 6) | DW10 FUD (Euro 6) | DW10 FUC (Euro 6),2016,2019,2019,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,4 / 1.997,yes,"Poly-V Ø54
11.083 r.p.m.",,N,09/2016,09/2019,Valeo 140A 14V
KA23055020,Kit alternador,CITROEN,JUMPER,DW12 (Euro 6.2 / Euro 6.3 / Euro 6.4),2019,,2019,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,4 / 2.179,yes,"Poly-V Ø54
11.083 r.p.m.",,N,09/2019,,Valeo 140A 14V
KA24125042,Kit alternador,CITROEN,JUMPER 2.2 BlueHDi MY2024,2.2 Euro 6.4,2024,,2024,,,,,,,,,,,,,,,,,,,,,,,4 / 2.184,any,"Poly-V Ø53
11.094 r.p.m.",,N,05/2024,,SEG 150A 28V 
KA25035043,Kit alternador,CITROEN,JUMPER 2.2 BlueHDi MY2024,2.2 Euro 6.4,2024,,2024,,,,,,,,,,,,,,,,,,,,,,,4 / 2.184,no,Poly-V,,N,05/2024,,SEG 150A 28V 
KB10018013,Kit compresor A/C,CITROEN,BERLINGO,F1C 3.0 (Euro 3-4),2004,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,any,"Poly-V 8K A Ø137
4.087 rpm",,N,2004,,TM 21 / QP 21
KB11128036,Kit compresor A/C,CITROEN,BERLINGO,F1CFL411F*A (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,any,,"1A Ø150
3.730 rpm",#¿NOMBRE?,08/2014,,TM 21 / QP 21
KB12018037,Kit compresor A/C,CITROEN,BERLINGO,F1CFL411F*A (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,no,"Poly-V 8K A Ø137
4.090 rpm",,N,08/2014,,TM 21 / QP 21
KC05100011,Kit compresor frío industrial,CITROEN,JUMPER,8140.43,2000,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.798,no,"Poly-V Ø119
2.874 rpm","Poly-V 8K A Ø119
2.874 rpm",N-E,2000,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100015,Kit compresor frío industrial,CITROEN,JUMPER,DW10TD (Euro 3) | DW12TED (Euro 3),2004,,2024,,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,,"4 / 1.997_x000D_
4 / 2.178",no,"Poly-V Ø119
5.210 rpm","Poly-V 6K A Ø142
4.366 rpm",N-E/S,07/2004,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100029,Kit compresor frío industrial,CITROEN,BERLINGO,DW8B,2003,,2022,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.867,no,"Poly-V Ø119
5.914 rpm","Poly-V 6K A Ø142
4.956 rpm",N-E/S,01/2003,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100031,Kit compresor frío industrial,CITROEN,BERLINGO,DW10,2003,,2022,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.997,no,"Poly-V Ø119
5.914 rpm","Poly-V 6K A Ø142
4.956 rpm",N-E/S,01/2003,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100033,Kit compresor frío industrial,CITROEN,JUMPY,DW8,1999,,2019,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.867,no,,"Poly-V 6K A Ø142
4.920 rpm",#¿NOMBRE?,1999,,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100035,Kit compresor frío industrial,CITROEN,JUMPY,DW10,2004,2006,2019,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.997,no,,"Poly-V 6K A Ø142
4.920 rpm",#¿NOMBRE?,2004,2006,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100037,Kit compresor frío industrial,CITROEN,JUMPER,DJ5 | DJ5T,1996,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.446,no,"2A Ø135
3.385 rpm",,N,1996,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
