code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KA19045003,Kit alternador,FIAT,DUCATO,F1C(Euro 4-5-5b+),2006,,2024,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.999,any,"Poly-V 8pk Ø59
3.1116 rpm (high idle speed)",,N,06/2006,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19045003,Kit alternador,FIAT,DUCATO,3.0 Natural Power 16 V | (Euro 4-5 / EVV),2010,,2024,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.999,any,"Poly-V 8pk Ø59
3.1116 rpm (high idle speed)",,N,01/2010,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19045003,Kit alternador,FIAT,DUCATO 3.0,3.0 Natural Power (Euro 6 ) | Dual-fuel CNG/petrol,2015,,2015,,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.999,any,"Poly-V 8pk Ø59
3.1116 rpm (high idle speed)",,N,2015,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA20045006,Kit alternador,FIAT,DUCATO,F1AGL411 (Euro 6 / 6b/ 6c),2014,,2024,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 2.287,yes,"Poly-V 6pk Ø53
2.500 rpm (idle speed)",,N,2014,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA20045006,Kit alternador,FIAT,DUCATO,F1AE0481 (Euro 3-4-5) | F1AE3481 (Euro 5+),2002,,2024,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 2.287,yes,"Poly-V 6pk Ø53
2.500 rpm (idle speed)",,N,2002,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA20045006,Kit alternador,FIAT,DUCATO,F1AGL411 (Euro 6D Temp),2019,,2024,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 2.287,yes,"Poly-V 6pk Ø53
2.500 rpm (idle speed)",,N,09/2019,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA21105010,Kit alternador,FIAT,DUCATO,2.2 Euro 6d-full,2021,2024,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.184,yes,"Poly-V 8K A Ø119
3.441 rpm","Poly-V 8K A Ø119
3.441 rpm",N-E,09/2021,04/2024,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA23055018,Kit alternador,FIAT,DUCATO,2.2 Euro 6d-full,2021,2024,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.184,yes,,,N,09/2021,04/2024,SEG 150A 28V 
KA24125042,Kit alternador,FIAT,DUCATO,2.2 Euro 6.4,2024,,2024,,,,,,,,,,,,,,,,,,,,,,,4 / 2.184,any,"Poly-V Ø53
11.094 r.p.m.",,N,05/2024,,SEG 150A 28V 
KA25035043,Kit alternador,FIAT,DUCATO,2.2 Euro 6.4,2024,,2024,,,,,,,,,,,,,,,,,,,,,,,4 / 2.184,no,Poly-V,,N,05/2024,,SEG 150A 28V 
