code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KA25105046,Kit alternador,FORD,TRANSIT 2.0 Euro 6AR / 6EA,BKFB Euro 6EA,2024,,2024,,Yes,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 1.995,yes,"Poly-V Ø54
2429 r.p.m.",,N,09/2024,,SEG 150A 28V 
KB12078043,Kit compresor A/C,FORD,TRANSIT,2.2 Duratorq TDCi | (Euro 5),2011,,2011,Yes,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.198,any,"2A Ø135
4.511 rpm",,N,06/2011,,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100010,Kit compresor frío industrial,FORD,TRANSIT,2.4 Duratorq TDdi,2000,,2011,Yes,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 2.402,any,,"1A Ø150
2.930 rpm",#¿NOMBRE?,2000,,SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100027,Kit compresor frío industrial,FORD,TRANSIT,2.0 Duratorq TDdi | (Euro 3),2000,,2011,,Yes,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.998,no,"2A Ø135
3.555 rpm",,N,2000,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100041,Kit compresor frío industrial,FORD,TRANSIT CONNECT,1.8 Duratorq TDdi | 1.8 Duratorq TDCi | (Euro 3 - Euro 4),2002,,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.753,no,"2A Ø135
3.260 rpm",,N,2002,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06070081,Kit compresor frío industrial,FORD,TRANSIT,2.2 Duratorq TDCi | (Euro 5),2011,,2011,,Yes,,,,,,,,,,,,,,,,,,,,,4 / 2.198,yes,,"1A Ø150
3.173 rpm",#¿NOMBRE?,06/2011,,TM 08 / QP 08 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170 | UP 90
KC06100086,Kit compresor frío industrial,FORD,TRANSIT,2.4 Duratorq TDCi | (Euro 4),2006,,2011,Yes,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 2.402,any,,"1A Ø150
3.550 rpm",#¿NOMBRE?,06/2006,,SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC07040109,Kit compresor frío industrial,FORD,TRANSIT CONNECT,DV6 ATED4 | (Euro 5),2013,,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.560,no,"Poly-V Ø119
5.109 rpm","Poly-V 6K A Ø142
4.281 rpm",N-E,12/2013,,TM 08 / QP 08 | UP 90
KC07040109,Kit compresor frío industrial,FORD,TRANSIT COURIER,Duratorq TDCI 1.6 (Euro 5b+),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.560,no,"Poly-V Ø119
5.109 rpm","Poly-V 6K A Ø142
4.281 rpm",N-E,2014,,TM 08 / QP 08 | UP 90
KC08010121,Kit compresor frío industrial,FORD,TRANSIT CONNECT,1.8 Duratorq TDCi | (Euro 3 / Euro 4 / Euro 5),2002,,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.753,any,"Poly-V Ø119
3.697 rpm","Poly-V 8K A Ø119
3.697 rpm",N-E,2002,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
