code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KA20085007,Kit alternador,MERCEDES,ATEGO,OM936 (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.700,any,"6K A Ø53
4.830 rpm",,N,2014,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA20085007,Kit alternador,MERCEDES,ATEGO,OM934 (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 5.132,any,"6K A Ø53
4.8300 rpm",,N,2014,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA21125011,Kit alternador,MERCEDES,SPRINTER 2.0,OM 654 D20 SCR | (Euro 6d-Temp / VI E),2021,,2021,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,4 / 1.950,any,"Poly-V 7pk Ø53
2.363 rpm (idle speed)",,N,2021,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA23055022,Kit alternador,MERCEDES,SPRINTER 2.0,OM 654 D20 SCR | (Euro 6d-Temp / VI E),2021,,2021,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,4 / 1.950,any,"Poly-V 5pk Ø53
2.363 rpm (idle speed)",,N,2021,,Valeo 140A 14V
KA24045035,Kit alternador,MERCEDES,ATEGO,OM934 (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 5.132,any,"6K A Ø53
4.8300 rpm",,N,2014,,SEG 150A 28V 
KA24045035,Kit alternador,MERCEDES,ATEGO,OM936 (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.700,any,"6K A Ø53
4.830 rpm",,N,2014,,SEG 150A 28V 
KA25035044,Kit alternador,MERCEDES,SPRINTER 2.0,OM 654 D20 SCR | (Euro 6d-Temp / VI E),2021,,2021,Yes,,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,4 / 1.950,any,"Poly-V 5PK Ø53
2.363 rpm (idle speed)",,N,2021,,SEG 150A 28V 
KB10028014,Kit compresor A/C,MERCEDES,VARIO,OM 904 LA (Euro 4-5),1997,,1997,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 4.249,no,"Poly-V 8K A Ø137
3.206 rpm",,N,1997,,TM 21 / QP 21
KB10038018,Kit compresor A/C,MERCEDES,ATEGO,OM 904 LA (Euro 3-4-5) | OM 924 LA (Euro 3-4-5) | OM 906 LA (Euro 3-4-5),1998,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,"4 / 4.249_x000D_
4 / 4.800_x000D_
6 / 6.374",no,"2B Ø158
3.899 rpm",,N,1998,,TM 31 / QP 31
KB11078032,Kit compresor A/C,MERCEDES,SPRINTER,M 272 E 35 | (Euro 4-5-6),2008,,2008,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 3.498,any,"Poly-V 8K A Ø137
5.512 rpm",,N,09/2008,,TM 21 / QP 21
KB11118035X,Kit compresor A/C,MERCEDES,INTOURO,OM 926 LA 210,,,,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.200,no,"2B Ø204
2.426 rpm",,N,,,X-430
KB12048041,Kit compresor A/C,MERCEDES,ATEGO,OM 904 LA (Euro 3-4-5) | OM 924 LA (Euro 3-4-5) | OM 906 LA (Euro 3-4-5),1998,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,"4 / 4.249_x000D_
4 / 4.800_x000D_
6 / 6.374",any,"2B Ø158
4.000 rpm",,N,1998,,TM 31 / QP 31
KB14038057,Kit compresor A/C,MERCEDES,ATEGO,OM936 (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.700,any,"8K A Ø151
3.730 rpm",,N,2014,,TM 31 / QP 31
KB14058058,Kit compresor A/C,MERCEDES,ATEGO,OM934 (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 5.132,any,"8K A Ø151
3.730 rpm",,N,2014,,TM 31 / QP 31
KB14078061,Kit compresor A/C,MERCEDES,ATEGO,OM934 (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 5.132,any,"8K A Ø137
4.100 rpm","8K A Ø137
4.100 rpm",N-E,2014,,TM 21 / QP 21
