code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KA23065023,Kit alternador,NISSAN,NV400 2.3 dCi - FWD (EURO 6D),M9T (Euro 6D Temp) | M9T (Euro VI-D Temp),2019,,2019,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø54
3.460 r.p.m.",,N,09/2019,,Valeo 140A 14V
KA23065023,Kit alternador,NISSAN,INTERSTAR 2.3 dCi - FWD (EURO 6D Full),M9T (Euro 6D Full) | M9T (Euro VI-D Full),2022,,2022,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø54
3.460 r.p.m.",,N,03/2022,,Valeo 140A 14V
KA23065023,Kit alternador,NISSAN,NV400 2.3 dCi - FWD,M9T / M9T B7 (Euro 6),2016,,2016,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø54
3.460 r.p.m.",,N,2016,,Valeo 140A 14V
KA23065023,Kit alternador,NISSAN,NV400 2.3 dCi - FWD,M9T B7 (Euro 5b+),2014,,2016,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø54
3.460 r.p.m.",,N,2014,,Valeo 140A 14V
KA23115030,Kit alternador,NISSAN,INTERSTAR 2.0 dCi - RWD (EURO 6.4),XDD M920 Blue dCi EURO 6.4,2024,,2024,Yes,,,Yes,Yes,,ok,,,,,,,,,,,,,,,,4 / 1.997,yes,"Poly-V K Ø55
2818 r.p.m.",,N-E,09/2024,,Valeo 140A 14V
KA24095041,Kit alternador,NISSAN,INTERSTAR 2.0 dCi - FWD (EURO 6.4),XDD M920 Blue dCi EURO 6.4,2024,,2024,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 1.997,yes,"Poly-V 6K A Ø56
2.822 r.p.m.",,N,09/2024,,SEG 150A 28V 
KC05100009,Kit compresor frío industrial,NISSAN,CABSTAR,BD-30 T (Euro 3) | BD-30 Ti (Euro 3),2003,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.953,any,"2A Ø135
3.120 rpm",,N,06/2003,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100009,Kit compresor frío industrial,NISSAN,ATLEON,BD-30 Ti | (Euro 3),2003,,2007,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.953,any,"2A Ø135
3.120 rpm",,N,06/2003,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100012,Kit compresor frío industrial,NISSAN,PRIMASTAR,G9U 630 | (Euro 3 / Euro 4),2003,,2010,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.464,no,"Poly-V Ø119
4.387 rpm","Poly-V 7K A Ø119
4.387 rpm",N-E,2003,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC05100012,Kit compresor frío industrial,NISSAN,INTERSTAR,G9T | G9U (Euro 3) | G9U 630 (Euro 4),2001,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,"4 / 2.188_x000D_
4 / 2.464",no,"Poly-V Ø119
4.387 rpm","Poly-V 7K A Ø119
4.387 rpm",N-E,2001,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
