code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KH17087008,Kit bomba hidráulica,,D-MAX N57 / N60,RZ4E (Euro 6),2017,,2017,,,Yes,Yes,,,ok,,,,,,,,,,,,,,,,4 / 1.898,any,"Poly-V 7K A Ø140
4.000 rpm",,N,07/2017,,HPI 12cc | HPI 15cc
KH17127010,Kit bomba hidráulica,,HILUX 2.4 D-4D,2.4L D-4D | 2GD-FTV Euro 6.1,2017,,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.393,any,"Poly-V 8K A Ø145
820 rpm",,N,11/2017,,12 cc SALAMI | 16 cc SALAMI | 8 cc SALAMI
KH19067013,Kit bomba hidráulica,,D-MAX N57 / N60,RZ4E (Euro 6),2017,2022,2017,,,Yes,Yes,,,ok,,,,,,,,,,,,,,,,4 / 1.898,any,"Poly-V 8K A Ø145
820 rpm (ilde speed)",,N,07/2017,12/2022,12 cc SALAMI | 16 cc SALAMI | 8 cc SALAMI
KH19067013-C,Kit bomba hidráulica,,D-MAX N57 / N60,RZ4E (Euro 6),2017,2022,2017,,,Yes,Yes,,,ok,,,,,,,,,,,,,,,,4 / 1.898,any,"Poly-V 8K A Ø145
820 rpm (ilde speed)",,N,07/2017,12/2022,12 cc SALAMI | 16 cc SALAMI | 8 cc SALAMI
KH19107014,Kit bomba hidráulica,,RANGER 2.0 EcoBlue TDCi,2.0L EcoBlue TDCi 170CV (125kW) | 2.0L EcoBlue TDCi  213CV (157kW),2019,2022,2023,,,Yes,Yes,,,,,,,,,,,,,,,,,,,4 / 1.995,any,"Poly-V 8K A Ø145
880 rpm (ilde speed)",,N,09/2019,12/2022,12 cc SALAMI
KH19117016,Kit bomba hidráulica,,HILUX 2.4 D-4D,2.4L D-4D | 2GD-FTV Euro 6.1,2017,,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.393,any,"Poly-V 8K A Ø145
3750 rpm",,N,2017,,12 cc SALAMI | 16 cc SALAMI | 8 cc SALAMI
KH19117016,Kit bomba hidráulica,,HILUX 2.4 D-4D,2.4L D-4D | 2GD-FTV Euro 6.2,2019,,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.393,any,"Poly-V 8K A Ø145
3750 rpm",,N,09/2019,,12 cc SALAMI | 16 cc SALAMI | 8 cc SALAMI
KH21117025,Kit bomba hidráulica,,PORTER NP6 1.5,EURO 6d-full (petrol/LPG & petrol/methane),2021,,2021,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 1.498,any,"Poly-V 8PK Ø134
1.422 rpm",,N,2021,,16 cc SALAMI
KH23077027,Kit bomba hidráulica,,RANGER 2.0 EcoBlue TDCi,2.0L EcoBlue TDCi 170CV (125kW) | 2.0L EcoBlue TDCi  213CV (151kW),2023,,2023,,,Yes,Yes,,,,,,,,,,,,,,,,,,,4 / 1.995,any,"Poly-V 8K A Ø135
880 rpm (ilde speed)",,N,01/2023,,12 cc SALAMI
KH24067032,Kit bomba hidráulica,,MAXUS DELIVER 9 RWD,Euro 6.2,2021,,2021,Yes,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.996,any,"Poly-V 8K A Ø135
833 rpm (ilde speed)",,N,2021,,16 cc SALAMI
