code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KB11068029,Kit compresor A/C,,B9R,D9B (Euro 4-5),2006,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 9.400,no,"2B Ø257 (LA16.0222Y)
2.344 rpm",,N,2006,,BITZER 4UFC | BOCK FK40
KB11068029X,Kit compresor A/C,,B9R,D9B (Euro 4-5),2006,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 9.400,no,"2B Ø204
2.952 rpm",,N,2006,,X-430
KB12048040,Kit compresor A/C,,ALEXANDER DENNIS,ISBe4 (EEV),2012,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,4/3.920,yes,"2B Ø158
2.590 rpm",,N,2012,,TM 31 / QP 31 (x2)
KB13098051,Kit compresor A/C,,B8R (Euro 6),D8K280 (Euro 6) | D8K320 (Euro 6) | D8K350 (Euro 6),2013,,2013,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.700,no,2B Ø180 3.278 rpm,,N,2013,,BOCK FK40
KB14118067,Kit compresor A/C,,B8R (Euro 6),D8K280 (Euro 6) | D8K320 (Euro 6) | D8K350 (Euro 6),2013,,2013,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.700,no,2B Ø180 3.278 rpm,,N,2013,,BOCK FK40
KB14128068X,Kit compresor A/C,,RC2,D0836 LOH67 (Euro 6) | D0836 LOH66 (Euro 6),2010,,2010,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.871,no,"2B Ø204
1681 rpm",,N,2010,,X-430
KB15118077,Kit compresor A/C,,B8R (Euro 6),D8K280 (Euro 6) | D8K320 (Euro 6) | D8K350 (Euro 6),2013,,2013,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.700,no,2B Ø158 3.734 rpm,,N,2013,,TM 31 / QP 31
KB16018078,Kit compresor A/C,,B8R (Euro 6),D8K280 (Euro 6) | D8K320 (Euro 6) | D8K350 (Euro 6),2013,,2013,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.700,no,"Linning LA160234Y
2B Ø210 2809 rpm
2B Ø151 4836 rpm",,N,2013,,BOCK FK40 | TM 31 / QP 31
KB18028089,Kit compresor A/C,,12250,D0836 LFL 79 (Euro 6c) | D0834 LFL78/79 (Euro 6c),2017,,2017,,,,Yes,,,,,,,,,,,,,,,,,Yes,,"6 / 6.871 &_x000D_
4 / 4.580",yes,"2B Ø158
3.610 rpm",,N,11/2017,,TM 31 / QP 31
KB18068091,Kit compresor A/C,,12250,D0836 LFL 79 (Euro 6c),2017,,2017,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.871,any,"8K A Ø151
3.800 rpm",,N,11/2017,,TM 31 / QP 31
KB18068091,Kit compresor A/C,,10.190 / 10.220,D0834 LFL78/79 (Euro 6c),2017,,2017,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 4.580,any,"8K A Ø151
3.800 rpm",,N,11/2017,,TM 31 / QP 31
KB18108093U,Kit compresor A/C,,B8R (Euro 5),D8C330 (EURO 5),2011,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.700,no,2B Ø149 4.530 rpm,,N,2011,,TM 21 / QP 21
KB19058095,Kit compresor A/C,,12250,D0836 LFL 79 (Euro 6c) | D0834 LFL78/79 (Euro 6c),2017,,2017,,,,Yes,,,,,,,,,,,,,,,,,,,"6 / 6.871 &_x000D_
4 / 4.580",any,"8K A Ø137
4.200 rpm",,N,11/2017,,TM 21 / QP 21
