code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100008,Kit compresor frío industrial,,MASCOTT,ZD30 | (Euro 3),2004,,2004,Yes,,,Yes,,,,,,,,,,,,,,,,,,Yes,4 / 2.953,any,"2A Ø135
3.870 rpm",,N,2004,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100013,Kit compresor frío industrial,,LT,AGX (Euro 3),1999,,1999,,,,Yes,,,,,,,,,,,,,,,,,,,5 / 2.461,any,"2A Ø135
2.850 rpm",,N,09/1999,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100014,Kit compresor frío industrial,,LT,MWM (Euro 3),1999,,1999,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.799,any,"2A Ø135
3.500 rpm",,N,09/1999,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100025,Kit compresor frío industrial,,FA LF45.130,Paccar BE 99C (Euro 3) | Paccar BE 110C (Euro 3) | Paccar BE 123C (Euro 3),2001,2006,2001,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 3.900,no,"Poly-V 8K A Ø119
3.782 rpm","Poly-V 8K A Ø157
2.886 rpm",N-E/S,2001,2006,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100025,Kit compresor frío industrial,,FA LF45.180 / FA LF55.180 / FT LF55.180 / FAN LF55.180,Paccar CE 136C (Euro 3) | Paccar CE 162C (Euro 3) | Paccar CE 184C (Euro 3),2001,2006,2001,,,,Yes,,,,Yes,,,,,,,,,,,,,,,6 / 5.900,no,"Poly-V 8K A Ø119
3.782 rpm","Poly-V 8K A Ø157
2.886 rpm",N-E/S,2001,2006,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100025,Kit compresor frío industrial,,FA LF45.140,Paccar FR103 (Euro 4) | Paccar FR118 (Euro 4) | Paccar FR136 (Euro 4),2006,,2006,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 4.500,no,"Poly-V 8K A Ø119
3.782 rpm","Poly-V 8K A Ø157
2.886 rpm",N-E/S,2006,,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100025,Kit compresor frío industrial,,FA LF45.220 / FA LF55.165 / FT LF55.220,Paccar GR165 (Euro 4) | Paccar GR184 (Euro 4) | Paccar GR210 (Euro 4),2006,,2006,,,,Yes,,,,Yes,,,,,,,,,,,,,,,6 / 6.700,no,"Poly-V 8K A Ø119
3.782 rpm","Poly-V 8K A Ø157
2.886 rpm",N-E/S,2006,,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100025,Kit compresor frío industrial,,KW45 160,Paccar FR160 (Euro 3-4),2006,,2006,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 4.500,no,"Poly-V 8K A Ø119
3.782 rpm","Poly-V 8K A Ø157
2.886 rpm",N-E/S,2006,,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100026,Kit compresor frío industrial,,FA LF45.130,Paccar BE 99C (Euro 3) | Paccar BE 110C (Euro 3) | Paccar BE 123C (Euro 3),2001,2006,2001,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 3.900,any,"2A Ø135
3.480 rpm",,N,2001,2006,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100026,Kit compresor frío industrial,,FA LF45.180 / FA LF55.180 / FT LF55.180 / FAN LF55.180,Paccar CE 136C (Euro 3) | Paccar CE 162C (Euro 3) | Paccar CE 184C (Euro 3),2001,2006,2001,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 5.900,any,"2A Ø135
3.480 rpm",,N,2001,2006,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100026,Kit compresor frío industrial,,FA LF45.140,Paccar FR103 (Euro 4-5) | Paccar FR118 (Euro 4-5) | Paccar FR136 (Euro 4-5),2006,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 4.500,any,"2A Ø135
3.480 rpm",,N,2006,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100026,Kit compresor frío industrial,,FA LF45.220 / FA LF55.165 / FT LF55.220,Paccar GR165 (Euro 4-5) | Paccar GR184 (Euro 4-5) | Paccar GR210 (Euro 4-5),2006,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.700,any,"2A Ø135
3.480 rpm",,N,2006,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100026,Kit compresor frío industrial,,FA LF45.140 / FA LF45.160,Paccar FR103 (Euro 5) | Paccar FR118 (Euro 5) | Paccar FR136 (Euro 5),2012,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 4.500,any,"2A Ø135
3.480 rpm",,N,2012,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
