code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100026,Kit compresor frío industrial,DAF,LF45.220 / LF45.250 / LF55.220,Paccar GR165 (Euro 5) | Paccar GR184 (Euro 5) | Paccar GR210 (Euro 5),2012,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.700,any,"2A Ø135
3.480 rpm",,N,2012,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10080199,Kit compresor frío industrial,DAF,CF75.250,Paccar PR183 (Euro 5) | Paccar PR228 (Euro 5) | Paccar PR265 (Euro 5),2010,,2010,,,,,,,,,,,,,,,,,,,,,,,6 / 9.186,any,"2B Ø152
2.865 rpm",,N,2010,,TK-315
KC11090245,Kit compresor frío industrial,DAF,LF45.220 / LF45.250 / LF55.220,Paccar GR165 (Euro 5) | Paccar GR184 (Euro 5) | Paccar GR210 (Euro 5) | Paccar GR220 (Euro 5),2012,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.700,any,"2B Ø152 / 1B Ø149 / 1B Ø150
2.597 rpm","1B Ø150
2.597 rpm",N-E,2012,,TK-312 | TK-315 | TM 21 / QP 21
KC12070283,Kit compresor frío industrial,DAF,CF75.250,Paccar PR183 (Euro 5) | Paccar PR228 (Euro 5) | Paccar PR265 (Euro 5),2010,,2010,,,,,,,,,,,,,,,,,,,,,,,6 / 9.186,any,1B Ø128 3.403 rpm / 1B Ø134 3.251 rpm,,N,2010,,CS150 | CS90
KC12070284,Kit compresor frío industrial,DAF,LF45.220 / LF45.250 / LF55.220,Paccar GR165 (Euro 5) | Paccar GR184 (Euro 5) | Paccar GR210 (Euro 5) | Paccar GR220 (Euro 5),2012,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.700,any,"2A Ø135
3.480 rpm",,N,2012,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12070284,Kit compresor frío industrial,DAF,LF220 / LF250 / LF280,"PX-7 164,172 (Euro 6) | PX-7 186,194 (Euro 6) | PX-7  208, 217 (Euro 6)",2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.690,any,"2A Ø135
3.480 rpm",,N,2014,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12100293,Kit compresor frío industrial,DAF,LF45.220 / LF45.250 / LF55.220,Paccar GR165 (Euro 5) | Paccar GR184 (Euro 5) | Paccar GR210 (Euro 5) | Paccar GR220 (Euro 5),2012,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.700,any,"1B Ø128 3.380 rpm /
1B Ø134 3.230 rpm",,N,2012,,CS150 | CS90
KC12110297,Kit compresor frío industrial,DAF,CF65.220,Paccar GR165 (E5 / EEV) | Paccar GR184 (E5 / EEV) | Paccar GR220 (E5 / EEV),2012,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.700,any,"2A Ø135
3.480 rpm",,N,2012,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC13050334,Kit compresor frío industrial,DAF,CF75.250,Paccar PR183 (Euro 5) | Paccar PR228 (Euro 5) | Paccar PR265 (Euro 5),2010,,2010,,,,,,,,,,,,,,,,,,,,,,,6 / 9.186,any,"1B Ø152
2.904 rpm","1B Ø152
2.904 rpm",N-E,2010,,TM 21 / QP 21
KC14020348,Kit compresor frío industrial,DAF,LF220 / LF250 / LF280,"PX-7 164,172 (Euro 6) | PX-7 186,194 (Euro 6) | PX-7  208, 217 (Euro 6)",2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.690,any,"1B Ø150
3.150 rpm","TM 21 / QP 21
1B Ø150 -3.150rpm",N-E,2014,,TK-315 | TM 21 / QP 21
