code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KB08118004X,Kit compresor A/C,IRISBUS,AvanCity+,DEUTZ TCD 2013 L06 4V | EURO 5/EEV,2008,,2008,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.146,no,"2B Ø204
2.635 rpm",,N,2008,,X-430
KB09128010,Kit compresor A/C,IRISBUS,AGORA LINE D.D.,CURSOR 8 F2B | CURSOR 8 F2G,,,,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.790,yes,"Poly-V 8K A Ø150
3.640 rpm",,N,,,TM 31 / QP 31
KB10018011X,Kit compresor A/C,IRISBUS,EURORIDER 397E.12,CURSOR 10,2008,,2008,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 10.308,no,"2B Ø204
2.750 rpm",,N,2008,,X-430
KB10038015X,Kit compresor A/C,IRISBUS,CITELIS12 / CITELIS 18,CURSOR 8,2009,,2009,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.790,any,"2B Ø204
2.779 rpm",,N,2009,,X-430
KB10038020,Kit compresor A/C,IRISBUS,CITELIS12 / CITELIS 18,CURSOR 8,2009,,2009,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.790,no,"2B Ø210 (LA16.158Y)
2.700 rpm",,N,2009,,BITZER 4UFC | BOCK FK40
KB11018024,Kit compresor A/C,IRISBUS,EuroMidi,F4AE3681D (Euro 4-5) | F4AFE611E*C (Euro 6),2010,,2020,,,,,,,,,,,,,,,,,,,,,,,"6 / 5.880_x000D_
6 / 6.728",any,"2B Ø158
3.400 rpm",,N,2010,,TM 31 / QP 31
KB11038026X,Kit compresor A/C,IRISBUS,CITELIS12 / CITELIS 18,CURSOR 8 - GNC,2009,,2009,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.790,no,"2B Ø204
2.779 rpm",,N,2009,,X-430
KB11038027,Kit compresor A/C,IRISBUS,CITELIS12 / CITELIS 18,CURSOR 8 - GNC,2009,,2009,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.790,no,"2B Ø210 (LA16.158Y)
2.700 rpm",,N,2009,,BITZER 4UFC | BOCK FK40
KB13028047,Kit compresor A/C,IRISBUS,EURORIDER 397E.12,CURSOR 10,2008,,2008,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 10.308,no,"2B Ø204
2.750 rpm",,N,2008,,BOCK FK40
KB15068075,Kit compresor A/C,IRISBUS,EuroMidi,F4AE3681B (Euro 4-5) | F4AFE611A*C (Euro 6),2010,2020,2020,,,,,,,,,,,,,,,,,,,,,,,"6 / 5.880_x000D_
6 / 6.728",any,"2B Ø158
3.400 rpm",,N,2010,01/2020,TM 31 / QP 31
KB16048081,Kit compresor A/C,IRISBUS,EuroMidi,F4AE3681B (Euro 4-5) | F4AFE611A*C (Euro 6),2010,,2020,,,,,,,,,,,,,,,,,,,,,,,"6 / 5.880_x000D_
6 / 6.728",any,"2B Ø158
3.400 rpm",,N,2010,,TM 31 / QP 31
KB20028097,Kit compresor A/C,IRISBUS,EuroMidi,F4AFE611A*C (Euro 6),2020,,2020,,,,,,,,,,,,,,,,,,,,,,,6 / 6.728,any,"2B Ø158
3.400 rpm",,N,02/2020,,TM 31 / QP 31
KB21098106,Kit compresor A/C,IRISBUS,EuroMidi,F4AE3681D (Euro 4-5) | F4AFE611E*C (Euro 6),2010,,2020,,,,,,,,,,,,,,,,,,,,,,,"6 / 5.880_x000D_
6 / 6.728",any,"2B Ø158
3.400 rpm",,N,2010,,TM 31 / QP 31
KB21108107,Kit compresor A/C,IRISBUS,EuroMidi,F4AE3681D (Euro 4-5) | F4AFE611E*C (Euro 6),2010,,2020,,,,,,,ok,,,,,,,,,,,,,,,,"6 / 5.880_x000D_
6 / 6.728",any,"2B Ø158
3.400 rpm",,N,2010,,TM 31 / QP 31
