code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100046,Kit compresor frío industrial,ISUZU,NPR 70,4HE1-XS,1998,2003,1998,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 4.751,no,"2A Ø135
3.526 rpm",,N,1998,2003,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06110093,Kit compresor frío industrial,ISUZU,NT400 - CABSTAR,ZD30 KE (Euro 6),2016,,2016,,,,,,,,,,,,,,,,,,,,,,,4 / 2.953,no,"Poly-V Ø119
4.286 rpm","Poly-V 7K A Ø119
4.286 rpm",N-E,2016,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC07090118,Kit compresor frío industrial,ISUZU,NPR 85 / NKR85,4JJ1-TCS | (Euro 4-5),2006,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.999,any,"Poly-V Ø119
3.482 rpm","Poly-V 8K A Ø119
3.482 rpm",N-E,2006,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC09040158,Kit compresor frío industrial,ISUZU,NPR 75,4HK1-TCS | (Euro 4-5),2009,,2009,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 5.193,any,"2A Ø135
3.177 rpm",,N,2009,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12010256,Kit compresor frío industrial,ISUZU,NT400 - CABSTAR,YD25K3 LD-5 (Lo) (Euro 5b+) | YD25K3 LD-5 (Mo) (Euro 5b+) | YD25K3 LD-5 (Ho) (Euro 5b+),2014,,2016,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 2.488,no,"Poly-V Ø119
4.992 rpm","Poly-V 8K A Ø157
3.783 rpm",N-E/S,2014,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12010257,Kit compresor frío industrial,ISUZU,NT400 - CABSTAR,YD25K3 LD-5 (Lo) (Euro 5b+) | YD25K3 LD-5 (Mo) (Euro 5b+) | YD25K3 LD-5 (Ho) (Euro 5b+),2014,,2016,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 2.488,yes,"Poly-V Ø119
4.992 rpm","Poly-V 8K A Ø157
3.783 rpm",N-E/S,2014,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12110295,Kit compresor frío industrial,ISUZU,- CAB 2.1 m -,DTi5 210 (Euro 6) | DTi5 240 (Euro 6),2013,,2013,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 5.100,any,"2A Ø135
3.380 rpm",,N,09/2013,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12110295,Kit compresor frío industrial,ISUZU,- CAB 2.1 m -,DTi8 250 (Euro 6) | DTi8 280 (Euro 6),2013,,2013,,,,Yes,,,ok,,,,,,,,,,,,,,,,6 / 7.700,any,"2A Ø135
3.380 rpm",,N,09/2013,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC13020313,Kit compresor frío industrial,ISUZU,- CAB 2.0 m -,DTi3 180 (Euro 6),2014,,2014,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.953,any,"2A Ø135
2.600 rpm",,N,2014,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC13030318,Kit compresor frío industrial,ISUZU,- CAB 2.1 m -,DTi5 210 (Euro 6) | DTi5 240 (Euro 6),2013,,2013,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 5.100,any,"2A Ø145
3.150rpm",,N,09/2013,,TM 21 / QP 21
