code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KA19055004,Kit alternador,IVECO,DAILY 3.0,F1CFL411J*C (Euro 5b+) | F1CFL411H*C (Euro 5b+),2014,,2021,Yes,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,09/2014,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19055004,Kit alternador,IVECO,DAILY 3.0,F1CFL411E*A /  F1CGL411E*A / F1CGL411A*E  (Euro 6) | F1CFL411F*A / F1CGL411F*A / F1CGL411B*E (Euro 6) | <b>F1CFA401A*A (CNG)</b>,2014,,2021,Yes,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,09/2014,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19055004,Kit alternador,IVECO,DAILY 3.0,F1CE3481J (Euro 5) | F1CE3481K (Euro 5),2011,,2021,Yes,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,11/2011,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19055004,Kit alternador,IVECO,DAILY 3.0,F1CFL (Euro 6d-full / Euro VI-E) | <b>F1CFA401C (CNG)</b>,2021,2024,2021,Yes,,,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,09/2021,09/2024,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19095005,Kit alternador,IVECO,DAILY 2.3,F1AGL411X (Euro 6d-temp) | F1AGL411Y (Euro 6d-temp) | F1AGL411W (Euro 6d-temp) | F1AGL411U (Euro 6d-temp),2019,,2021,,,Yes,,,,ok,Yes,,,,,,,,,,Yes,,,,,4 / 2.287,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,09/2019,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19095005,Kit alternador,IVECO,DAILY 2.3,F1AGL411H (Euro 6) | F1AGL411J (Euro 6) | F1AGL411G (Euro 6),2019,,2021,,,Yes,,,,ok,Yes,,,,,,,,,,Yes,,,,,4 / 2.287,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,09/2019,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19095005,Kit alternador,IVECO,DAILY 2.3,F1AGL411 (Euro 6d-full / Euro VI-E),2021,,2021,,,Yes,,,,ok,Yes,,,,,,,,,,Yes,,,,,4 / 2.287,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,09/2021,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA22065012,Kit alternador,IVECO,DAILY 3.0,F1CFL (Euro 6d-full / Euro VI-E) | <b>F1CFA401C (CNG)</b>,2021,2024,2021,Yes,,,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,09/2021,09/2024,SEG 150A 28V 
KA22065012-B,Kit alternador,IVECO,DAILY 3.0,F1CFL (Euro 6d-full / Euro VI-E) | <b>F1CFA401C (CNG)</b>,2021,2024,2021,Yes,,,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 6pk Ø53
2.322 rpm (idle speed)",,N,09/2021,09/2024,SEG 150A 28V 
KA22105013,Kit alternador,IVECO,DAILY 3.0,F1CFL (Euro 6d-full / Euro VI-E) | <b>F1CFA401C (CNG)</b>,2021,,2021,Yes,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.998,any,"Poly-V 6pk Ø54
2.295 rpm (idle speed)",,N,09/2021,,Valeo 140A 14V
KA23035017,Kit alternador,IVECO,DAILY 2.3,F1AGL411H (Euro 6) | F1AGL411J (Euro 6) | F1AGL411G (Euro 6),2019,,2021,,,Yes,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,,,N,09/2019,,SEG 150A 28V 
KA23035017,Kit alternador,IVECO,DAILY 2.3,F1AGL411 (Euro 6d-full / Euro VI-E),2021,,2021,,,Yes,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,,,N,09/2021,,SEG 150A 28V 
KA23035017,Kit alternador,IVECO,DAILY 2.3,F1AGL411X (Euro 6d-temp) | F1AGL411Y (Euro 6d-temp) | F1AGL411W (Euro 6d-temp) | F1AGL411U (Euro 6d-temp),2019,,2021,,,Yes,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,,,N,09/2019,,SEG 150A 28V 
KA23055021,Kit alternador,IVECO,DAILY 2.3,F1AGL411X (Euro 6d-temp) | F1AGL411Y (Euro 6d-temp) | F1AGL411W (Euro 6d-temp) | F1AGL411U (Euro 6d-temp),2019,,2021,,,Yes,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,"Poly-V 5pk Ø54
2.415 rpm (idle speed)",,N,09/2019,,Valeo 140A 14V
KA23055021,Kit alternador,IVECO,DAILY 2.3,F1AGL411H (Euro 6) | F1AGL411J (Euro 6) | F1AGL411G (Euro 6),2019,,2021,,,Yes,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,"Poly-V 5pk Ø54
2.415 rpm (idle speed)",,N,09/2019,,Valeo 140A 14V
KA23055021,Kit alternador,IVECO,DAILY 2.3,F1AGL411 (Euro 6d-full / Euro VI-E),2021,,2021,,,Yes,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,"Poly-V 5pk Ø54
2.415 rpm (idle speed)",,N,09/2021,,Valeo 140A 14V
