code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KH15017003,Kit bomba hidráulica,IVECO,DAILY 3.0,F1CFL411J*C (Euro 5b+) | F1CFL411H*C (Euro 5b+),2014,,2021,,,Yes,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 8K A Ø133
932 rpm",,N,09/2014,,IPH 25cc
KH15017003,Kit bomba hidráulica,IVECO,DAILY 3.0,F1CFL411E*A /  F1CGL411E*A / F1CGL411A*E  (Euro 6) | F1CFL411F*A / F1CGL411F*A / F1CGL411B*E (Euro 6) | <b>F1CFA401A*A (CNG)</b>,2014,,2021,,,Yes,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 8K A Ø133
932 rpm",,N,09/2014,,IPH 25cc
KH15017003,Kit bomba hidráulica,IVECO,DAILY 3.0,F1CFL4116  (Euro 6d-temp) | F1CFL4117  (Euro 6d-temp) | <b>F1CFA401C (CNG)</b>,2019,,2021,,,Yes,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 8K A Ø133
932 rpm",,N,09/2019,,IPH 25cc
KH15017003,Kit bomba hidráulica,IVECO,DAILY 3.0,F1CFL (Euro 6d-full / Euro VI-E) | <b>F1CFA401C (CNG)</b>,2021,,2021,,,Yes,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 8K A Ø133
932 rpm",,N,09/2021,,IPH 25cc
KH19107015,Kit bomba hidráulica,IVECO,DAILY 2.3,F1AFL411A*A (Euro 5b+) | F1AFL411B*A (Euro 5b+) | F1AFL411C*A (Euro 5b+),2014,,2019,,,,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,,,N,08/2014,,12 cc SALAMI | 16 cc SALAMI | 8 cc SALAMI
KH19107015,Kit bomba hidráulica,IVECO,DAILY 2.3,F1AGL411X (Euro 6d-temp) | F1AGL411Y (Euro 6d-temp) | F1AGL411W (Euro 6d-temp) | F1AGL411U (Euro 6d-temp),2019,,2019,,,Yes,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,,,N,09/2019,,12 cc SALAMI | 16 cc SALAMI | 8 cc SALAMI
KH19107015,Kit bomba hidráulica,IVECO,DAILY 2.3,F1AGL411 (Euro 6d-full / Euro VI-E),2019,,2019,,,Yes,,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,any,,,N,09/2019,,12 cc SALAMI | 16 cc SALAMI | 8 cc SALAMI
KH20017017,Kit bomba hidráulica,IVECO,DAILY 3.0,F1CFL411E*A /  F1CGL411E*A / F1CGL411A*E  (Euro 6) | F1CFL411F*A / F1CGL411F*A / F1CGL411B*E (Euro 6) | <b>F1CFA401A*A (CNG)</b>,2014,,2021,,,Yes,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 8K A Ø134
925 rpm",,N,09/2014,,16 cc SALAMI
KH20017017,Kit bomba hidráulica,IVECO,DAILY 3.0,F1CFL4116  (Euro 6d-temp) | F1CFL4117  (Euro 6d-temp) | F1CFL4115  (Euro 6d-temp) | <b>F1CFA401C (CNG)</b>,2019,,2021,,,Yes,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 8K A Ø134
925 rpm",,N,09/2019,,16 cc SALAMI
KH20017017,Kit bomba hidráulica,IVECO,DAILY 3.0,F1CFL (Euro 6d-full / Euro VI-E) | <b>F1CFA401C (CNG)</b>,2021,,2021,,,Yes,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.998,any,"Poly-V 8K A Ø134
925 rpm",,N,09/2021,,16 cc SALAMI
