code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100005,Kit compresor frío industrial,IVECO,DAILY 2.8,8140.63 (Euro 2) | 8140.43 C / S / N (Euro 2),2001,,2001,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.798,any,"2A Ø135
2.510 rpm",,N,2001,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100006,Kit compresor frío industrial,IVECO,DAILY 3.0,F1CE3481L (EEV) | F1CE3481C (EEV),2009,,2024,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 2.998,any,,"1A Ø150
3.220 rpm",#¿NOMBRE?,2009,,SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100006,Kit compresor frío industrial,IVECO,DAILY 3.0 HPI - HPT,F1CE0481A-F (Euro 3-4) | F1CE0481B-H (Euro 3-4),2004,,2004,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 2.998,any,,"1A Ø150
3.220 rpm",#¿NOMBRE?,2004,,SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100006-E,Kit compresor frío industrial,IVECO,DAILY 3.0 HPI - HPT,F1CE0481A-F (Euro 3-4) | F1CE0481B-H (Euro 3-4),2004,,2004,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 2.998,any,,"1A Ø150
3.220 rpm",#¿NOMBRE?,2004,,SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100006-E,Kit compresor frío industrial,IVECO,DAILY 3.0,F1CE3481L (EEV) | F1CE3481C (EEV),2009,,2024,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 2.998,any,,"1A Ø150
3.220 rpm",#¿NOMBRE?,2009,,SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100016,Kit compresor frío industrial,IVECO,EuroCargo Tector,F4AE0481D (Euro 3) | F4AE0481C (Euro 3) | F4AE0481A (Euro 3),2002,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 3.920,any,"2A Ø135
3.800 rpm",,N,10/2002,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100017,Kit compresor frío industrial,IVECO,EuroCargo Tector,F4AE0681E (Euro 3) | F4AE0681D (Euro 3),2001,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 5.880,any,"2A Ø135
3.800 rpm",,N,2001,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100018,Kit compresor frío industrial,IVECO,EuroCargo Tector,F4AE0681E (Euro 3) | F4AE0681B (Euro 3) | F4AE0681A (Euro 3),2001,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 5.880,any,"2A Ø135
3.800 rpm",,N,2001,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100040,Kit compresor frío industrial,IVECO,DAILY 2.3,F1AE3481A (Euro 5) | F1AE3481B (Euro 5) | F1AE3481C (Euro 5),2011,,2024,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 2.287,no,"2A Ø135
3.386 rpm",,N,11/2011,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100040,Kit compresor frío industrial,IVECO,DAILY 2.3,F1AFL411A*A (Euro 5b+) | F1AFL411B*A (Euro 5b+) | F1AFL411C*A (Euro 5b+),2014,,2024,,,,Yes,,,ok,,,,,,,,,,,Yes,,,,,4 / 2.287,no,"2A Ø135
3.386 rpm",,N,08/2014,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
