code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100020,Kit compresor frío industrial,MAN,TGL,D0834 LFL40-50 (Euro 3-4) | D0834 LFL41-51 (Euro 3-4) | D0834 LFL42-52 (Euro 3-4),2005,,2021,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 4.580,any,"2A Ø135
3.300 rpm",,N,2005,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06040074,Kit compresor frío industrial,MAN,TGL,D0836 LFL40-50 (Euro 3-4),2005,,2021,,,,Yes,,,,,,,,,,,,,,,,,Yes,,6 / 6.871,any,"2A Ø135
3.300 rpm",,N,2005,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06040074,Kit compresor frío industrial,MAN,TGM,D0836 LFL40-50 (Euro 3-4) | D0836 LFL41-51 (Euro 3-4) | D0836 LFL44-54 (Euro 3-4),2005,,2021,,,,Yes,,,,,,,,,,,,,,,,,Yes,,6 / 6.871,any,"2A Ø135
3.300 rpm",,N,2005,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06040074,Kit compresor frío industrial,MAN,TGM,D0836 LFL 66 (Euro 6),2013,2017,2021,,,,Yes,,,,,,,,,,,,,,,,,Yes,,6 / 6.871,any,"2A Ø135
3.300 rpm",,N,2013,2017,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06040074,Kit compresor frío industrial,MAN,TGL,D0834 LFL 66/67/68 (Euro 6) | D0836 LFL 66 (Euro 6),2013,2017,2021,,,,Yes,,,,,,,,,,,,,,,,,Yes,,"4 / 4.580_x000D_
6 / 6.871",any,"2A Ø135
3.300 rpm",,N,2013,2017,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC09030149,Kit compresor frío industrial,MAN,TGL,D0834 LFL 60/63 (EEV/Euro 5) | D0834 LFL 61/64 (EEV/Euro 5) | D0834 LFL 62/65 (EEV/Euro 5) | D0836 LFL 60/63 (EEV/Euro 5),2009,,2021,,,,Yes,,,,,,,,,,,,,,,,,Yes,,"4 / 4.580_x000D_
6 / 6.871",any,"1B Ø152 / 1B Ø155
3.050 rpm",,N,2009,,CR2318 | CR2323
KC09030149,Kit compresor frío industrial,MAN,TGL,D0834 LFL 66/67/68 (Euro 6) | D0836 LFL 66/67 (Euro 6),2013,2017,2021,,,,Yes,,,,,,,,,,,,,,,,,Yes,,"4 / 4.580_x000D_
6 / 6.871",any,"1B Ø152 / 1B Ø155
3.050 rpm",,N,2013,2017,CR2318 | CR2323
KC09030149,Kit compresor frío industrial,MAN,TGM,D0836 LFL 60/63 (Euro 5),2009,,2021,,,,Yes,,,,,,,,,,,,,,,,,Yes,,6 / 6.871,any,"1B Ø152 / 1B Ø155
3.050 rpm",,N,2009,,CR2318 | CR2323
KC09030149,Kit compresor frío industrial,MAN,TGM,D0836 LFL 66/67 (Euro 6),2013,2017,2021,,,,Yes,,,,,,,,,,,,,,,,,Yes,,6 / 6.871,any,"1B Ø152 / 1B Ø155
3.050 rpm",,N,2013,2017,CR2318 | CR2323
KC09030157,Kit compresor frío industrial,MAN,TGM,D0836 LFL 60/63 (Euro 5),2009,,2021,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 6.871,any,"2A Ø135
3.300 rpm",,N,2009,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
