code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KG13049002,Kit generador,MERCEDES,SPRINTER 2.143,OM 651 DE22 LA | (Euro 5b / Euro 6 b / Euro 6c Gr.III/ VI-C),2014,,2018,,,,Yes,,,ok,,,,,,,,,,Yes,,,,,,4 / 2.143,any,"Ø60
2.406 rpm",,N,2014,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG13049003,Kit generador,MERCEDES,SPRINTER 3.0,OM 642 DE30LA | (Euro 4-5-6),2006,,2006,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,6 / 2.987,any,"Ø53 7PK
2.500 rpm",,N,06/2006,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG18109026,Kit generador,MERCEDES,SPRINTER 2.143,OM 651 DE22 LA | (Euro 6c Gr.III/ VI-C),2018,,2018,,Yes,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.143,yes,"Ø53 7PK
2.600 rpm",,N,2018,,"Generator ""G3-230V"" | Generator ""G3-400V"" "
KG20109034,Kit generador,MERCEDES,SPRINTER 2.0,OM 654 D20 SCR | (Euro 6d-Temp / VI E),2020,,2022,Yes,,,Yes,,,,,,,,,,,,Yes,,,,,,,4 / 1.950,any,"Ø53
2.363 rpm",,N,2020,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG20109034-A,Kit generador,MERCEDES,SPRINTER 2.0,OM 654 D20 SCR | (Euro 6d-Temp / VI E),2020,,2022,Yes,,,Yes,,,,,,,,,,,,Yes,,,,,,,4 / 1.950,any,"Ø53
2.363 rpm",,N,2020,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG22039037,Kit generador,MERCEDES,SPRINTER 2.0,OM 654 D20 SCR | (Euro 6d-Temp / VI E),2022,,2022,,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,,4 / 1.950,yes,"Ø53
2.363 rpm",,N,2022,,"Generator ""G3-230V"" | Generator ""G3-400V"" "
