code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KF22070900,Kit chasis,OPEL/VAUXHALL,VIVARO 1.5D,,2021,,2021,,,,,,,,,,,,,,,,,,,,,,,4 / 1.499,no,,,N,2021,,Xarios Integrated
KF22070900,Kit chasis,OPEL/VAUXHALL,VIVARO 2.0D,,2021,,2021,,,,,,,,,,,,,,,,,,,,,,,4 / 1.997,no,,,N,11/2021,,Xarios Integrated
KF22070900,Kit chasis,OPEL/VAUXHALL,VIVARO,,2018,,2019,,,,,,,,,,,,,,,,,,,,,,,4 / 1.499,yes,,,N,2018,,Xarios Integrated
KF22070900,Kit chasis,OPEL/VAUXHALL,VIVARO,,2019,2021,2019,,,,,,,,,,,,,,,,,,,,,,,4 / 1.997,no,,,N,09/2019,11/2021,Xarios Integrated
KF22070900,Kit chasis,OPEL/VAUXHALL,VIVARO,,2018,,2019,,,,,,,,,,,,,,,,,,,,,,,4 / 1.499,no,,,N,2018,,Xarios Integrated
KF22090901,Kit chasis,OPEL/VAUXHALL,VIVARO,,2019,2021,2019,,,,,,,,,,,,,,,,,,,,,,,4 / 1.997,no,,,N,09/2019,11/2021,Battery Pack 6KWh Mastervolt
KF22090901,Kit chasis,OPEL/VAUXHALL,VIVARO,,2018,,2019,,,,,,,,,,,,,,,,,,,,,,,4 / 1.499,no,,,N,2018,,Battery Pack 6KWh Mastervolt
KF22090901,Kit chasis,OPEL/VAUXHALL,VIVARO,,2018,,2019,,,,,,,,,,,,,,,,,,,,,,,4 / 1.499,yes,,,N,2018,,Battery Pack 6KWh Mastervolt
KF22090901,Kit chasis,OPEL/VAUXHALL,VIVARO 2.0D,,2021,,2021,,,,,,,,,,,,,,,,,,,,,,,4 / 1.997,no,,,N,11/2021,,Battery Pack 6KWh Mastervolt
KF22090901,Kit chasis,OPEL/VAUXHALL,VIVARO 1.5D,,2021,,2021,,,,,,,,,,,,,,,,,,,,,,,4 / 1.499,no,,,N,2021,,Battery Pack 6KWh Mastervolt
