code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100012,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,G9U 630 | (Euro 3 / Euro 4),2003,,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.464 ,no,"Poly-V Ø119
4.387 rpm","Poly-V 7K A Ø119
4.387 rpm",N-E,2003,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC05100012,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO,G9T | G9U (Euro 3) | G9U 630(Euro 4),2001,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,"4 / 2.188 _x000D_
4 / 2.464",no,"Poly-V Ø119
4.387 rpm","Poly-V 7K A Ø119
4.387 rpm",N-E,2001,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC05100023,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,F9Q (Euro 3),2001,2006,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.870,no,"Poly-V Ø119
4.265 rpm","Poly-V 8K A Ø119
4.265 rpm",N-E,2001,06/2006,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC05100053,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,F9Q (Euro 3),2001,2006,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.870,no,"Poly-V Ø119
4.229 rpm","Poly-V 6K A Ø119
4.229 rpm",N-E,2001,06/2006,TM 08 / QP 08 | UP 90
KC05100055,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO,ZD30 (Euro 3) | DXi3 (Euro 4),2004,,2006,,,,Yes,,,,Yes,,,,,,,,,,,,,,Yes,4 / 2.953,no,"Poly-V Ø119
4.689 rpm","Poly-V 8K A Ø157
3.554 rpm",N-E/S,2004,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100060,Kit compresor frío industrial,OPEL/VAUXHALL,COMBO,Y17 (Euro 3),2001,2005,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.686,no,"2A Ø135
3.520 rpm",,N,2001,2005,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06110090,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO,G9U 650 (Euro 4) | G9U 632 (Euro 4),2006,,2006,,,,,,,,,,,,,,,,,,,,,,,4 / 2.464,any,"Poly-V Ø119
3.529 rpm","Poly-V 8K A Ø119
3.529 rpm",N-E,06/2006,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06120095,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 5b+),2014,,2016,,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,"4 / 2.298_x000D_
",no,"Poly-V 8K A Ø119
4.353 rpm","Poly-V 7K A Ø119
4.353 rpm",N-E,2014,,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC06120095,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,M9R 780 (Euro 4) | M9R 630 (Euro 5) | M9R 692 (Euro 5),2006,,2019,,,,Yes,Yes,,not,,,,,,,,,,,,,,,,4 / 1.995,no,"Poly-V 8K A Ø119
4.353 rpm","Poly-V 7K A Ø119
4.353 rpm",N-E,06/2006,,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC06120095,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 4-5) | M9T (Euro 5b+) - Single Turbo -,2010,,2016,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,no,"Poly-V 8K A Ø119
4.353 rpm","Poly-V 7K A Ø119
4.353 rpm",N-E,06/2010,,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC08030126,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,M9R 780 (Euro 4) | M9R 630 (Euro 5) | M9R 692 (Euro 5),2006,,2019,,,,Yes,Yes,,not,,,,,,,,,,,,,,,,4 / 1.995,no,"Poly-V 8K A Ø119
4.353 rpm","Poly-V 7K A Ø119
4.353 rpm",N-E,06/2006,,TM 08 / QP 08 | UP 90
KC08030126,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 4-5) | M9T (Euro 5b+) - Single Turbo -,2010,,2016,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,no,"Poly-V 8K A Ø119
4.353 rpm","Poly-V 7K A Ø119
4.353 rpm",N-E,06/2010,,TM 08 / QP 08 | UP 90
KC08030126,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 5b+),2014,,2016,,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,"4 / 2.298_x000D_
",no,"Poly-V 8K A Ø119
4.353 rpm","Poly-V 7K A Ø119
4.353 rpm",N-E,2014,,TM 08 / QP 08 | UP 90
KC08120145,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,M9R 780 (Euro 4),2006,,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.995,yes,"2A Ø135
3.111 rpm",,N,06/2006,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC09090178,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,M9R 780 (Euro 4),2006,,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.995,yes,"2A Ø135
3.111 rpm",,N,06/2006,,TM 08 / QP 08 | UP 90
KC10020189,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD,M9T (Euro 4-5) | M9T / M9T B7 (Euro 5b+),2010,,2016,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,06/2010,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10020189,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD,M9T / M9T B7 (Euro 5b+),2014,,2016,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,"4 / 2.298_x000D_
",any,"2A Ø135
3.111 rpm",,N,2014,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10020189,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD,M9T / M9T B7 (Euro 6),2016,,2016,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,2016,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10020189,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO - RWD,M9T / M9T B7 (Euro 6),2016,,2019,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,2016,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10020189,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO - RWD,M9T (Euro VI-D Temp),2019,,2019,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,09/2019,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10020189,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD (EURO 6D),M9T (Euro VI-D Temp),2019,,2019,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,09/2019,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10030190,Kit compresor frío industrial,OPEL/VAUXHALL,COMBO,A16FDL | (Euro 5),2012,,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.598,yes,"2A Ø135
3.495 rpm",,N,01/2012,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10050194,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 4-5) | M9T (Euro 5b+) - Single Turbo -,2010,,2016,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,06/2010,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10050194,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 5b+),2014,,2016,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,"4 / 2.298_x000D_
",any,"2A Ø135
3.111 rpm",,N,2014,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10050195,Kit compresor frío industrial,OPEL/VAUXHALL,COMBO,199A3000 | (Euro 4),2011,,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.248,any,"Poly-V Ø119
4.100 rpm","Poly-V 8K A Ø119
4.100 rpm",N-E,12/2011,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC10080200,Kit compresor frío industrial,OPEL/VAUXHALL,COMBO,199A3000 | (Euro 4),2011,,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.248,any,"Poly-V Ø119
4.100 rpm","Poly-V 6K A Ø119
4.100 rpm",N-E,12/2011,,TM 08 / QP 08 | UP 90
KC10090201,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD,M9T (Euro 4-5) | M9T / M9T B7 (Euro 5b+),2010,,2016,Yes,,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,06/2010,,TM 08 / QP 08 | UP 90
KC10090201,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD,M9T / M9T B7 (Euro 5b+),2014,,2016,Yes,,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,2014,,TM 08 / QP 08 | UP 90
KC10090201,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD,M9T / M9T B7 (Euro 6),2016,,2016,Yes,,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,2016,,TM 08 / QP 08 | UP 90
KC10090201,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO - RWD,M9T / M9T B7 (Euro 6),2016,,2019,Yes,,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,2016,,TM 08 / QP 08 | UP 90
KC10090202,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 4-5) | M9T (Euro 5b+) - Single Turbo -,2010,,2016,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,06/2010,,TM 08 / QP 08 | UP 90
KC10090202,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 5b+),2014,,2016,,,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.111 rpm",,N,2014,,TM 08 / QP 08 | UP 90
KC11050236,Kit compresor frío industrial,OPEL/VAUXHALL,COMBO,A16FDL | (Euro 5),2012,,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.598,no,"2A Ø135
3.495 rpm",,N,01/2012,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12060277,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 4-5),2010,,2016,,Yes,,Yes,Yes,,not,,,,,,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.059 rpm",,N,06/2010,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12060278,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 4-5),2010,,2016,,Yes,,Yes,Yes,,not,,,,,,,,,,,,,,,,4 / 2.298,any,"2A Ø135
3.059 rpm",,N,06/2010,,TM 08 / QP 08 | UP 90
KC12060282,Kit compresor frío industrial,OPEL/VAUXHALL,COMBO,263 A2000 (Euro 5),2010,,2016,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.248,no,"2A Ø135
4.000 rpm",,N,2010,,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC12120298,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,M9R 630 (Euro 5) | M9R 692 (Euro 5),2010,,2019,,,,Yes,Yes,,not,,,,,,,,,,,,,,,,4 / 1.995,yes,"Poly-V 8K A Ø119
2.941 rpm","Poly-V 7K A Ø119
2.941 rpm",N-E,01/2010,,SD5H14 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120
KC12120298Z,Kit compresor frío industrial,OPEL/VAUXHALL,VIVARO,M9R 630 (Euro 5) | M9R 692 (Euro 5),2010,,2019,,,,Yes,Yes,,not,,,,,,,,,,,,,,,,4 / 1.995,yes,"Poly-V 8K A Ø119
2.941 rpm","Poly-V 7K A Ø119
2.941 rpm",N-E,01/2010,,UP 150 / UPF 150
KC12120300,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T B7 (Euro 5b+),2014,,2016,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø119
3.500 r.p.m.","Poly-V 5K A Ø138
3.018 r.p.m.",N-E,2014,,TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120
KC12120300,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T / M9T B7 (Euro 6),2016,,2016,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø119
3.500 r.p.m.","Poly-V 5K A Ø138
3.018 r.p.m.",N-E,2016,,TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120
KC12120300,Kit compresor frío industrial,OPEL/VAUXHALL,MOVANO - FWD,M9T / M9T B7 (Euro 6),2016,,2019,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø119
3.500 r.p.m.","Poly-V 5K A Ø138
3.018 r.p.m.",N-E,2016,,TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120
