code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KG15079011,Kit generador,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD,M9T (Euro 5b+),2014,,2016,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,"4 / 2.298_x000D_
",any,"Ø60
2.533 rpm",,N,2014,,"Generator ""G3-230V"" | Generator ""G3-400V"" "
KG15079011,Kit generador,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD,M9T / M9T B7 (Euro 6),2016,,2016,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Ø60
2.533 rpm",,N,2016,,"Generator ""G3-230V"" | Generator ""G3-400V"" "
KG15079011,Kit generador,OPEL/VAUXHALL,MOVANO - RWD,M9T / M9T B7 (Euro 6),2016,,2019,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Ø60
2.533 rpm",,N,2016,,"Generator ""G3-230V"" | Generator ""G3-400V"" "
KG15079011,Kit generador,OPEL/VAUXHALL,MOVANO - RWD,M9T (Euro VI-D Temp),2019,,2019,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Ø60
2.533 rpm",,N,09/2019,,"Generator ""G3-230V"" | Generator ""G3-400V"" "
KG15079011,Kit generador,OPEL/VAUXHALL,MOVANO 2.3 CDTI - RWD (EURO 6D),M9T (Euro VI-D Temp),2019,,2019,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Ø60
2.533 rpm",,N,09/2019,,"Generator ""G3-230V"" | Generator ""G3-400V"" "
KG17059021,Kit generador,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T (Euro 6),2016,,2016,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,yes,"Ø60
2.493 rpm",,N,2016,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG17059021,Kit generador,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD,M9T B7 (Euro 5b+),2014,,2016,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,yes,"Ø60
2.493 rpm",,N,2014,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG17059021,Kit generador,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD (EURO VI-D),M9T (Euro VI-D Temp),2019,,2024,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,yes,"Ø60
2.493 rpm",,N,09/2019,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG18059024,Kit generador,OPEL/VAUXHALL,MOVANO 2.2 BlueHDi,DW12 RU (Euro 6.2 / Euro 6.3 / Euro 6.4),2019,,2019,,,Yes,Yes,,,,,,,,,,,,,,,,,,,4 / 2.179,yes,"Poly-V 7K A Ø53
2.580 r.p.m.",,N,09/2019,,"Generator ""G3-230V"" | Generator ""G3-400V"" "
KG20019029,Kit generador,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD (EURO 6D),M9T (Euro 6D Temp),2019,,2019,,Yes,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 2.298,yes,"Ø60
2.493 rpm",,N,09/2019,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG21069036,Kit generador,OPEL/VAUXHALL,MOVANO 2.3 CDTI - FWD (EURO VI-D),2.2 Euro 6d-full,2024,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.184,yes,"Ø53 6PK
2.536 rpm",,N,02/2024,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
KG24079040,Kit generador,OPEL/VAUXHALL,MOVANO 2.2 BlueHDi MY2024,2.2 Euro 6.4,2024,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.184,yes,"Poly-V Ø53
11.094 r.p.m.",,N,05/2024,,"Generator ""G4-230V"" | Generator ""G4-400V"" "
