code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100011,Kit compresor frío industrial,PEUGEOT,BOXER,8140.43,2000,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.798,no,"Poly-V Ø119
2.874 rpm","Poly-V 8K A Ø119
2.874 rpm",N-E,2000,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100015,Kit compresor frío industrial,PEUGEOT,BOXER,DW10TD (Euro 3) | DW12TED (Euro 3),2004,,2024,,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,,"4 / 1.997 _x000D_
4 / 2.178",no,"Poly-V Ø119
5.210 rpm","Poly-V 6K A Ø142
4.366 rpm",N-E/S,07/2004,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100029,Kit compresor frío industrial,PEUGEOT,PARTNER,DW8,2003,,2022,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.867,no,"Poly-V Ø119
5.914 rpm","Poly-V 6K A Ø142
4.956 rpm",N-E/S,01/2003,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100031,Kit compresor frío industrial,PEUGEOT,PARTNER,DW10,2003,,2022,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.997,no,"Poly-V Ø119
5.914 rpm","Poly-V 6K A Ø142
4.956 rpm",N-E/S,01/2003,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100033,Kit compresor frío industrial,PEUGEOT,EXPERT,DW8,1999,,2019,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.867,no,,"Poly-V 6K A Ø142
4.920 rpm",#¿NOMBRE?,1999,,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100035,Kit compresor frío industrial,PEUGEOT,EXPERT,DW10,2004,2006,2019,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.997,no,,"Poly-V 6K A Ø142
4.920 rpm",#¿NOMBRE?,2004,2006,SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100037,Kit compresor frío industrial,PEUGEOT,BOXER,DJ5 | DJ5T,1996,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.446,no,"2A Ø135
3.385 rpm",,N,1996,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100038,Kit compresor frío industrial,PEUGEOT,BOXER,8140.43,2000,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.798,no,"Poly-V Ø119
2.874 rpm","Poly-V 5K A Ø119
2.874 rpm",N-E,2000,,TM 08 / QP 08 | UP 90
KC06090084,Kit compresor frío industrial,PEUGEOT,BOXER,4 HV / HU (Euro 4) | 4 H6 / HH / HJ (Euro 5),2006,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.198,no,"2A Ø135
3.530 rpm",,N,07/2006,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06090084,Kit compresor frío industrial,PEUGEOT,BOXER,4 H6 (Euro 5b+) | 4 HH (Euro 5b+) | 4 HJ (Euro 5b+),2014,,2024,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.198,no,"2A Ø135
3.530 rpm",,N,2014,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
