code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KA19035001,Kit alternador,RENAULT,MASTER 2.3 dCi - RWD,M9T (Euro 6),2016,2020,2016,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 8pk Ø59
2.576 rpm (idle speed)",,N,2016,2020,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19035001,Kit alternador,RENAULT,MASTER 2.3 dCi - RWD (EURO6D),M9T (Euro VI-D Temp / Euro VI-E),2021,,2021,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 8pk Ø59
2.576 rpm (idle speed)",,N,2021,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19035002,Kit alternador,RENAULT,MASTER 2.3 dCi - FWD,M9T (Euro 6),2016,,2016,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 8pk Ø59
3.1116 rpm (high idle speed)",,N,2016,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA19035002,Kit alternador,RENAULT,MASTER 2.3 dCi - FWD (EURO VI-D),M9T (Euro 6D Temp) | M9T (Euro VI-D Temp / Euro VI-E),2021,,2021,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 8pk Ø59
3.1116 rpm (high idle speed)",,N,2021,,Mahle MG 142 (100A 28V) | Mahle MG 29 (200A 14V)
KA23065023,Kit alternador,RENAULT,MASTER 2.3 dCi - FWD (EURO6D),M9T (Euro 6D Temp) | M9T (Euro VI-D Temp / Euro VI-E),2019,,2019,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø54
3.460 r.p.m.",,N,09/2019,,Valeo 140A 14V
KA23065023,Kit alternador,RENAULT,MASTER 2.3 dCi - FWD,M9T B7 (Euro 5b+),2014,,2016,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø54
3.460 r.p.m.",,N,2014,,Valeo 140A 14V
KA23065023,Kit alternador,RENAULT,MASTER 2.3 dCi - FWD,M9T / M9T B7 (Euro 6),2016,,2016,,Yes,,Yes,Yes,Yes,ok,,,,Yes,Yes,,,,,,,,,,,4 / 2.298,any,"Poly-V 8K A Ø54
3.460 r.p.m.",,N,2016,,Valeo 140A 14V
KA23105027,Kit alternador,RENAULT,MASTER 2.3 dCi - RWD,M9T (Euro 6),2016,,2016,Yes,,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,any,"Poly-V 7k Ø54
2815 rpm",,N,2016,,Mahle MG 29 (200A 14V)
KA23115030,Kit alternador,RENAULT,MASTER 2.0 dCi - RWD (EURO 6.4),XDD M920 Blue dCi EURO 6.4,2024,,2024,Yes,,,Yes,Yes,,ok,,,,,,,,,,,,,,,,4 / 1.997,yes,"Poly-V K Ø55
2818 r.p.m.",,N-E,09/2024,,Valeo 140A 14V
KA24095041,Kit alternador,RENAULT,MASTER 2.0 dCi - FWD (EURO 6.4),XDD M920 Blue dCi EURO 6.4,2024,,2024,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 1.997,yes,"Poly-V 6K A Ø56
2.822 r.p.m.",,N,09/2024,,SEG 150A 28V 
KA24095041-A,Kit alternador,RENAULT,MASTER 2.0 dCi - FWD (EURO 6.4),XDD M920 Blue dCi EURO 6.4,2024,,2024,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,4 / 1.997,yes,"Poly-V 6K A Ø56
2.822 r.p.m.",,N,09/2024,,SEG 150A 28V 
