code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100008,Kit compresor frío industrial,RENAULT,MASTER 3.0 dCi - RWD,ZD30 | (Euro 3),2004,,2004,Yes,,,Yes,,,,,,,,,,,,,,,,,,Yes,4 / 2.953,any,"2A Ø135
3.870 rpm",,N,2004,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100012,Kit compresor frío industrial,RENAULT,TRAFIC,G9U 630 | (Euro 3 / Euro 4),2003,,2010,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 2.464,no,"Poly-V Ø119
4.387 rpm","Poly-V 7K A Ø119
4.387 rpm",N-E,2003,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC05100012,Kit compresor frío industrial,RENAULT,MASTER,G9T | G9U (Euro 3) | G9U 630 (Euro 4),2001,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,"4 / 2.188 _x000D_
4 / 2.464",no,"Poly-V Ø119
4.387 rpm","Poly-V 7K A Ø119
4.387 rpm",N-E,2001,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC05100023,Kit compresor frío industrial,RENAULT,TRAFIC,F9Q (Euro 3),2001,2006,2010,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.870,no,"Poly-V Ø119
4.265 rpm","Poly-V 8K A Ø119
4.265 rpm",N-E,2001,06/2006,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC05100051,Kit compresor frío industrial,RENAULT,KANGOO,K9K 812 (Euro 3),2002,2006,2012,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.461,no,,"Poly-V 6K A Ø125
4.800 rpm",#¿NOMBRE?,2002,06/2006,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC05100053,Kit compresor frío industrial,RENAULT,TRAFIC,F9Q (Euro 3),2001,2006,2010,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.870,no,"Poly-V Ø119
4.229 rpm","Poly-V 6K A Ø119
4.229 rpm",N-E,2001,06/2006,TM 08 / QP 08 | UP 90
KC05100055,Kit compresor frío industrial,RENAULT,MASTER,ZD30 - Euro 3 | DXi3 - Euro 4,2004,,2006,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,Yes,4 / 2.953,no,"Poly-V Ø119
4.689 rpm","Poly-V 8K A Ø157
3.554 rpm",N-E/S,2004,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06070082,Kit compresor frío industrial,RENAULT,KANGOO,K9K (Euro 4),2006,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.461,no,,"Poly-V 6K A Ø125
4.800 rpm",#¿NOMBRE?,06/2006,,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC06110090,Kit compresor frío industrial,RENAULT,MASTER,G9U 650 (Euro 4) | G9U 632 (Euro 4),2006,,2006,,,,,,,,,,,,,,,,,,,,,,,4 / 2.464,any,"Poly-V Ø119
3.529 rpm","Poly-V 8K A Ø119
3.529 rpm",N-E,06/2006,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC06120095,Kit compresor frío industrial,RENAULT,MASTER 2.3 dCi - FWD,M9T (Euro 4-5) | M9T (Euro 5b+) - Single Turbo -,2010,,2016,,Yes,,Yes,Yes,Yes,ok,,,,,,,,,,,,,,,,4 / 2.298,no,"Poly-V 8K A Ø119
4.353 rpm","Poly-V 7K A Ø119
4.353 rpm",N-E,06/2010,,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
