code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC07040109,Kit compresor frío industrial,TOYOTA,PROACE 1.6D,DV6 UTED 4 | (Euro 5),2013,,2013,,,,Yes,,,,,,,,,,,,,,,,,,,4 @ 1.560,no,"Poly-V Ø119
5.109 rpm","Poly-V 6K A Ø142
4.281 rpm",N-E,09/2013,,TM 08 / QP 08 | UP 90
KC07040109,Kit compresor frío industrial,TOYOTA,PROACE,1.6D-4D 95 (Euro 6) | 1.6D-4D 115 (Euro 6),2016,,2019,,,,Yes,Yes,,,,,,,,,,,,,,,,,,4 / 1.560,no,"Poly-V Ø119
5.109 rpm","Poly-V 6K A Ø142
4.281 rpm",N-E,09/2016,,TM 08 / QP 08 | UP 90
KC08030124,Kit compresor frío industrial,TOYOTA,PROACE 1.6D,DV6 UTED 4 | (Euro 5),2013,,2013,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.560,no,"Poly-V Ø119
5.109 rpm","Poly-V 6K A Ø142
4.281 rpm",N-E/S,09/2013,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC10110207,Kit compresor frío industrial,TOYOTA,PROACE 2.0D,DW10CTED4 (Euro 5) | DW10CD (Euro 5),2013,,2021,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 1.997,any,,"Poly-V 6K A Ø125
3.000 rpm",#¿NOMBRE?,09/2013,,TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC11100248,Kit compresor frío industrial,TOYOTA,PROACE 2.0D,DW10CTED4 (Euro 5) | DW10CD (Euro 5),2013,,2021,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.997,no,"Poly-V Ø119
4.790 rpm","Poly-V 8K A Ø157
3.630 rpm",N-E/S,09/2013,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC12050270,Kit compresor frío industrial,TOYOTA,PROACE 1.6D,DV6 UTED 4 | (Euro 5),2013,,2013,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.560,yes,,"Poly-V 6K A Ø125
3.136 rpm",#¿NOMBRE?,09/2013,,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC12060276,Kit compresor frío industrial,TOYOTA,PROACE 1.6D,DV6 UTED 4 | (Euro 5),2013,,2013,,,,Yes,,,,,,,,,,,,,,,,,,,4 @ 1.560,yes,,"Poly-V 6K A Ø125
3.136 rpm",#¿NOMBRE?,09/2013,,TM 08 / QP 08 | UP 90
KC13040324,Kit compresor frío industrial,TOYOTA,PROACE 2.0D,DW10CTED4 (Euro 5) | DW10CD (Euro 5),2013,,2021,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.997,no,"Poly-V Ø119
4.790 rpm","Poly-V 6K A Ø142
4.014 rpm",N-E,09/2013,,TM 08 / QP 08 | UP 90
KC16060408,Kit compresor frío industrial,TOYOTA,PROACE,1.6D-4D 95 (Euro 6) | 1.6D-4D 115 (Euro 6),2016,,2019,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,4 / 1.560,no,"Poly-V Ø119
5.109 rpm","Poly-V 6K A Ø142
4.281 rpm",N-E/S,09/2016,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC16070411,Kit compresor frío industrial,TOYOTA,PROACE,1.6D-4D 95 (Euro 6) | 1.6D-4D 115 (Euro 6),2016,,2019,,,,Yes,Yes,,,,,,,,,,,,,,,,,,4 / 1.560,yes,"Poly-V 8PK Ø119
3.136 rpm","Poly-V 8PK Ø119
3.136 rpm",N-E,09/2016,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
