code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KB07118002X,Kit compresor A/C,VOLVO,B12B,DH12E,,,,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 12.100,no,"2B Ø204
2.797 rpm",,N,,,X-430
KB09108008,Kit compresor A/C,VOLVO,B9TL,D9B (Euro 4-5),2006,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 9.400,yes,"Poly-V 8K A Ø150
3.167 rpm",,N,2006,,TM 31 / QP 31
KB10038016,Kit compresor A/C,VOLVO,K230 / 280 / 320 / 360,DC9 (Euro 5) | DC13 (Euro 5),2009,,2009,,,,Yes,,,,,,,,,,,,,,,,,,,"5 / 9.290_x000D_
6 / 12.740",no,"2B Ø166 (LA16.200Y)
2.625 rpm",,N,2009,,BITZER 4UFC | BOCK FK40
KB10038016X,Kit compresor A/C,VOLVO,K230 / 280 / 320 / 360,DC9 (Euro 5) | DC13 (Euro 5),2009,,2009,,,,Yes,,,,,,,,,,,,,,,,,,,"5 / 9.290_x000D_
6 / 12.740",no,"2B Ø204
2.142 rpm",,N,2009,,X-430
KB10038017,Kit compresor A/C,VOLVO,B13R,D13C (Euro 5),,,,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 12.800,no,"2B Ø220 (LA16.0148Y)
2.356 rpm",,N,,,BITZER 4UFC | BOCK FK40
KB10038017X,Kit compresor A/C,VOLVO,B13R,D13C (Euro 5),,,,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 12.800,no,"2B Ø204
2.541 rpm",,N,,,X-430
KB10038019,Kit compresor A/C,VOLVO,B9TL,D9B (Euro 4-5),2006,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 9.400,yes,"Poly-V 6K A Ø119
4.961 rpm",,N,2006,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KB10098022X,Kit compresor A/C,VOLVO,B9L,D9B (Euro 4-5),2006,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 9.400,no,"2B Ø204
2.952 rpm",,N,2006,,X-430
KB10098023,Kit compresor A/C,VOLVO,B7RLE,D7E (Euro 4-5),,,,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.140,no,"2B Ø200
2.887 rpm",,N,,,BOCK FK40
KB10098023X,Kit compresor A/C,VOLVO,B7RLE,D7E (Euro 4-5),,,,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.140,no,"2B Ø204
2.831 rpm",,N,,,X-430
KB11068030X,Kit compresor A/C,VOLVO,K230 / 280 / 320 / 360,DC9 (Euro 5) | DC13 (Euro 5),2009,,2009,,,,Yes,,,,,,,,,,,,,,,,,,,"5 / 9.290_x000D_
6 / 12.740",any,"2B Ø204
2.608 rpm",,N,2009,,X-430
KB11088033,Kit compresor A/C,VOLVO,B11R 4x2,D11C330 (Euro 5) | D11C370 (Euro 5) | D11C410 (Euro 5 - EEV) | DC11C450 (Euro 5),2011,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 10.837,no,"2B Ø220 (LA16.0148Y)
2.505rpm",,N,11/2011,,BITZER 4UFC | BOCK FK40
KB11088033X,Kit compresor A/C,VOLVO,B11R 4x2,D11C330 (Euro 5) | D11C370 (Euro 5) | D11C410 (Euro 5 - EEV) | DC11C450 (Euro 5),,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 10.837,no,"2B Ø204
2.701 rpm",,N,,,X-430
KB11098034,Kit compresor A/C,VOLVO,B9TL,D9B260 Euro 4 | D9B260 Euro 5 EEV,2011,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 9.400,yes,"Poly-V 8K A Ø144
3.361 rpm",,N,2011,,TM 31 / QP 31 (x2)
KB12068042,Kit compresor A/C,VOLVO,B9L,D9B (Euro 4-5),2006,,2006,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 9.400,no,"2B Ø20 (LA16.0146Y)
3.011 rpm",,N,2006,,BOCK FK40
KB13068050,Kit compresor A/C,VOLVO,B11R,D11K380 (Euro 6) | D11K430 (Euro 6) | D11K470 (Euro 6),2013,,2013,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 10.837,no,"2B Ø180
2.884 rpm",,N,2013,,BOCK FK40
