code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100028,Kit compresor frío industrial,VOLVO,FL 6,D6B180 | D6B220 | D6B250,1999,,1999,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 5.480,no,,"1A Ø150
2.800 rpm",#¿NOMBRE?,1999,,TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC07040106,Kit compresor frío industrial,VOLVO,FL 240,D7E240 (Euro 4) | D7E280 (Euro 4),2007,,2007,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.150,any,"2A Ø135
3.680 rpm",,N,2007,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC07040106,Kit compresor frío industrial,VOLVO,FL240,D7F240 (Euro 5) | D7F260 (Euro 5) | D7F290 (Euro 5),2010,,2010,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.150,any,"2A Ø135
3.680 rpm",,N,09/2010,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC07040107,Kit compresor frío industrial,VOLVO,FL 240,D7E240 (Euro 4) | D7E280 (Euro 4),2007,,2007,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.150,any,"2A Ø135
3.900 rpm",,N,2007,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC07040107,Kit compresor frío industrial,VOLVO,FL240,D7F240 (Euro 5) | D7F260 (Euro 5) | D7F290 (Euro 5),2010,,2010,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.150,any,"2A Ø135
3.900 rpm",,N,09/2010,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10100206,Kit compresor frío industrial,VOLVO,FL240,D7F240 (Euro 5) | D7F260 (Euro 5) | D7F290 (Euro 5),2010,,2010,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.150,any,"1B Ø152 / 1B Ø155
3.484 rpm",,N,09/2010,,CR2318 | CR2323
KC10120213,Kit compresor frío industrial,VOLVO,FL240,D7F240 (Euro 5) | D7F260 (Euro 5) | D7F290 (Euro 5),2010,,2010,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.150,any,"2B Ø152 / 1B Ø149
3.552 rpm",,N,09/2010,,TK-312 | TK-315
KC12010260,Kit compresor frío industrial,VOLVO,FE 300 Hybrid,D7F300 (Euro 5),2012,,2012,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.145,yes,,Poly-V 8k Ø145,#¿NOMBRE?,01/2012,,TK-315
KC12040269,Kit compresor frío industrial,VOLVO,FL240,D7F240 (Euro 5) | D7F260 (Euro 5) | D7F290 (Euro 5),2010,,2010,,,,Yes,,,,,,,,,,,,,,,,,,,6 / 7.150,any,"1B Ø128 3.594 rpm / 1B Ø134
3.433 rpm",,N,09/2010,,CS150 | CS90
KC12110295,Kit compresor frío industrial,VOLVO,FL 210,D5K210 (Euro 6) | D5K240 (Euro 6),2013,,2013,,,,Yes,,,ok,,,,,,,,,,,,,,,,4 / 5.100,any,"2A Ø135
3.380 rpm",,N,09/2013,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
