code,kit_type,brand,model_clean,engine_all,year_from_int,year_to_int,model_max_year,flag_rwd,flag_fwd,flag_awd,flag_rhd,flag_start_stop,flag_high_idle,flag_gearbox_v3,flag_sanden,flag_auto_tensioner,flag_two_auto_tensioners,flag_pfmot_yes,flag_pfmot_no,flag_urban_kit,flag_ind_belt,flag_n63_full_option,flag_n63_pulley_yes,flag_n63_pulley_no,flag_himatic,flag_allison_not,flag_zf_not,flag_man_option,flag_engine_sideways,cilinder,ac_filter,embrague_std,embrague_esp,tipus_embrague,year_from_v4,year_to_v4,compressors
KC05100067,Kit compresor frío industrial,VW,CADDY,BDJ | (Euro 3),,2004,2015,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.968,no,"Poly-V Ø119
4.706 rpm","Poly-V 6K A Ø157
3.567 rpm",N-E/S,,2004,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC05100068,Kit compresor frío industrial,VW,TRANSPORTER,86TDI(AXB) - Euro 3 | 104TDI(AXB) - Euro 3,2003,,2019,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.896,no,,"Poly-V 6K A Ø125
3.880 rpm",#¿NOMBRE?,2003,,TM 13 / QP 13 | TM 15 / QP 15 | UP 120 / UPF 120 | UP 150 / UPF 150
KC07020102,Kit compresor frío industrial,VW,CRAFTER,BJJ / BJK (Euro 4) | BJL / BJM (Euro 4),2006,,2011,,,,Yes,,,,,,,,,,,,,,,,,,,5 / 2.459,any,"2A Ø135
3.295 rpm",,N,06/2006,,SD5H14 | SD5L14 | SD7H15 | SD7L15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC09030150,Kit compresor frío industrial,VW,CADDY,BLS | (Euro 4),2006,,2015,,,,Yes,,,,Yes,,,,,,,,,,,,,,,4 / 1.896,no,"Poly-V Ø119
4.672 rpm","Poly-V 6K A Ø142
3.915 rpm",N-E/S,2006,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC09030151,Kit compresor frío industrial,VW,CADDY,BLS | (Euro 4),2006,,2015,,,,Yes,,,,,,,,,,,,,,,,,,,4 / 1.896,no,,"Poly-V 6K A Ø142
3.915 rpm",#¿NOMBRE?,2006,,TM 08 / QP 08 | UP 90
KC10010188,Kit compresor frío industrial,VW,TRANSPORTER,TDI 2.0 | EA189 - Euro 5 / Euro 5b+,2010,,2019,,,Yes,Yes,,,,,,,,,,,,,,,,,,,4 / 1.968,yes,"Poly-V Ø119
2.875 rpm","Poly-V 7K A Ø119
2.875 rpm",N-E,2010,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10010188,Kit compresor frío industrial,VW,TRANSPORTER,TDI 2.0 | EA189 - Euro 5b+,2015,,2019,,,Yes,Yes,,,,,,,,,,,,,,,,,,,4 / 1.968,yes,"Poly-V Ø119
2.875 rpm","Poly-V 7K A Ø119
2.875 rpm",N-E,2015,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10040191,Kit compresor frío industrial,VW,TRANSPORTER,TDI 2.0 | EA189 - Euro 5 / Euro 5b+,2010,,2019,,,Yes,Yes,,,,,,,,,,,,,,,,,,,4 / 1.968,yes,"Poly-V Ø119
2.875 rpm","Poly-V 7K A Ø119
2.875 rpm",N-E,2010,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10040191,Kit compresor frío industrial,VW,TRANSPORTER,TDI 2.0 | EA189 - Euro 5b+,2015,,2019,,,Yes,Yes,,,,,,,,,,,,,,,,,,,4 / 1.968,yes,"Poly-V Ø119
2.875 rpm","Poly-V 7K A Ø119
2.875 rpm",N-E,2015,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
KC10070197,Kit compresor frío industrial,VW,TRANSPORTER,TDI 2.0 | EA189 - Euro 5 / Euro 5b+,2010,,2019,,,Yes,Yes,,,,,,,,,,,,,,,,,,,4 / 1.968,no,"Poly-V Ø119
2.875 rpm","Poly-V 7K A Ø119
2.875 rpm",N-E,2010,,SD5H14 | SD7H15 | TM 13 / QP 13 | TM 15 / QP 15 | TM 16 / QP 16 | UP 120 / UPF 120 | UP 150 / UPF 150 | UP 170 / UPF 170
